pd_itm_no,pd_itm_no_ma,pd_grp_no,pd_abrv_nm,lseg_key,ter,replication,base_market,base_asset,hedge_type,charge_rt_final,charge_rt_source
KR7091220004,A091220,ETF,TIGER 은행,091220,0.46,실물(패시브),국내,주식,환노출,0.52,RDB
KR7091230003,A091230,ETF,TIGER 반도체,091230,0.46,실물(패시브),국내,주식,환노출,0.52,RDB
KR,A0193MO,ETF,BNK BNK27-12특수채(AAA이상)액티브증권상장지수투자신탁(채권),0193MO,,,,,,,
KR7101280006,A101280,ETF,KODEX 일본TOPIX100,101280,0.19,실물(패시브),해외,주식,환노출,0.19,LSEG
KR7102110004,A102110,ETF,TIGER 200,102110,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
KR7114470008,A114470,ETF,KIWOOM 국고채3년,114470,0.05,실물(패시브),국내,채권,환노출,0.05,LSEG
KR7114820004,A114820,ETF,TIGER 국채3년,114820,0.15,실물(패시브),국내,채권,환노출,0.15,RDB
KR7122090004,A122090,ETF,PLUS 코스피50,122090,0.33,실물(패시브),국내,주식,환노출,0.49,RDB
KR7123320004,A123320,ETF,TIGER 레버리지,123320,0.022,실물(패시브),국내,주식,환노출,0.022,LSEG
KR7132030008,A132030,ETF,KODEX 골드선물(H),132030,0.68,실물(패시브),해외,원자재,환헤지,0.68,LSEG
KR7292190006,A292190,ETF,KODEX KRX300,292190,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
KR7139260004,A139260,ETF,TIGER 200 IT,139260,0.4,실물(패시브),국내,주식,환노출,0.4,RDB
KR7145850004,A145850,ETF,TREX 펀더멘탈 200,145850,0.34,실물(패시브),국내,주식,환노출,0.49,RDB
KR7147970008,A147970,ETF,TIGER 모멘텀,147970,0.23,실물(패시브),국내,주식,환노출,0.23,LSEG
KR7168580009,A168580,ETF,ACE 중국본토CSI300,168580,0.7,실물(패시브),해외,주식,환노출,0.7,LSEG
KR7176950004,A176950,ETF,KODEX 국채선물10년인버스,176950,0.07,실물(패시브),국내,채권,환노출,0.07,LSEG
KR7182490003,A182490,ETF,TIGER 단기선진하이일드(합성 H),182490,0.24,합성(패시브),해외,채권,환노출,0.24,LSEG
KR7183710003,A183710,ETF,RISE 주식혼합,183710,0.25,실물(패시브),국내,혼합자산,환노출,0.25,LSEG
KRG580000492,Q580049,ETN,KB 차이나 중형주 CSI 500 ETN,580049,,,,,,,
KR70005A0007,A0005A0,ETF,KODEX 미국S&P500데일리커버드콜OTM,0005A0,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR70005D0004,A0005D0,ETF,SOL 전고체배터리&실리콘음극재,0005D0,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR70005G0001,A0005G0,ETF,IBK K-AI반도체코어테크,0005G0,0.28,실물(패시브),국내,주식,환노출,0.28,LSEG
KR70013R0008,A0013R0,ETF,RISE 테슬라미국채타겟커버드콜혼합(합성),0013R0,0.25,합성(패시브),해외,혼합자산,합성,0.25,LSEG
KR70015K0003,A0015K0,ETF,TIGER 미국소비트렌드액티브,0015K0,0.79,실물(액티브),해외,주식,환노출,0.79,LSEG
KR70017Y0005,A0017Y0,ETF,1Q 종합채권(AA-이상)액티브,0017Y0,0.025,실물(액티브),국내,채권,환노출,0.025,LSEG
KR70023A0005,A0023A0,ETF,SOL 미국양자컴퓨팅TOP10,0023A0,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7195980008,A195980,ETF,PLUS 신흥국MSCI(합성 H),195980,0.5,합성(패시브),해외,주식,환노출,0.49,RDB
KR7205720006,A205720,ETF,ACE 일본TOPIX인버스(합성 H),205720,0.5,합성(패시브),해외,주식,환노출,0.5,LSEG
KR7211560008,A211560,ETF,TIGER 배당성장,211560,0.115,실물(패시브),국내,주식,환노출,0.115,LSEG
KR7211900006,A211900,ETF,KODEX 코리아배당성장,211900,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7217770007,A217770,ETF,TIGER 원유선물인버스(H),217770,0.69,실물(패시브),해외,원자재,환헤지,0.69,LSEG
KR7217780006,A217780,ETF,TIGER 차이나CSI300인버스(합성),217780,0.58,합성(패시브),해외,주식,합성,0.58,LSEG
KR7218420008,A218420,ETF,KODEX 미국S&P500에너지(합성),218420,0.25,합성(패시브),해외,주식,합성,0.25,LSEG
KRG610000165,Q610016,ETN,메리츠 레버리지 은 선물 ETN(H),610016,,,,,,,
KR7292500006,A292500,ETF,SOL KRX300,292500,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
KR7295000004,A295000,ETF,RISE 국채선물10년,295000,0.07,실물(패시브),국내,채권,환노출,0.07,LSEG
KR7300640000,A300640,ETF,RISE 게임테마,300640,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7301410007,A301410,ETF,PLUS 코스닥150선물인버스,301410,0.29,실물(패시브),국내,주식,환노출,0.29,LSEG
KR7302450002,A302450,ETF,RISE 코스피,302450,0.02,실물(패시브),국내,주식,환노출,0.02,LSEG
KR7305080004,A305080,ETF,TIGER 미국채10년선물,305080,0.25,실물(패시브),해외,채권,환노출,0.25,LSEG
KR7306950007,A306950,ETF,KODEX KRX300레버리지,306950,0.64,실물(패시브),국내,주식,환노출,0.64,LSEG
KR7307510008,A307510,ETF,TIGER 의료기기,307510,0.5,실물(패시브),국내,주식,환노출,0.5,LSEG
KR70025N0008,A0025N0,ETF,TIGER TDF2045 적격,0025N0,0.19,실물(패시브),국내&해외,혼합자산,환노출,0.19,LSEG
KR70036Z0001,A0036Z0,ETF,RISE 미국천연가스밸류체인,0036Z0,0.4,실물(패시브),해외,주식,환노출,0.4,LSEG
KR70040Y0006,A0040Y0,ETF,SOL 팔란티어커버드콜OTM채권혼합,0040Y0,0.35,실물(패시브),국내&해외,혼합자산,환노출,0.35,LSEG
KR70043Y0003,A0043Y0,ETF,TIME 차이나AI테크액티브,0043Y0,0.8,실물(액티브),해외,주식,환노출,0.8,LSEG
KR70047N0002,A0047N0,ETF,PLUS 차이나AI테크TOP10,0047N0,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR70051A0000,A0051A0,ETF,KoAct 브로드컴밸류체인액티브,0051A0,0.5,실물(액티브),해외,주식,환노출,0.5,LSEG
KR70052D0006,A0052D0,ETF,TIGER 코리아배당다우존스,0052D0,0.25,실물(패시브),국내,주식,환노출,0.25,LSEG
KRG610000322,Q610032,ETN,메리츠 CSI 300 ETN,610032,,,,,,,
KR7223190000,A223190,ETF,KODEX 200가치저변동,223190,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7225030006,A225030,ETF,TIGER 미국S&P500선물인버스(H),225030,0.59,실물(패시브),해외,주식,환헤지,0.59,LSEG
KR7225800002,A225800,ETF,KIWOOM 미국달러선물레버리지,225800,0.64,실물(패시브),국내,통화,환노출,0.64,LSEG
KR7227830007,A227830,ETF,PLUS 코스피,227830,0.2,실물(패시브),국내,주식,환노출,0.2,LSEG
KR7228810008,A228810,ETF,TIGER 미디어컨텐츠,228810,0.44,실물(패시브),국내,주식,환노출,0.44,LSEG
KR7228820007,A228820,ETF,TIGER KTOP30,228820,0.21,실물(패시브),국내,주식,환노출,0.21,LSEG
KR7232080002,A232080,ETF,TIGER 코스닥150,232080,0.19,실물(패시브),국내,주식,환노출,0.19,LSEG
KRG502400291,Q500029,ETN,신한 레버리지 은 선물 ETN(H),500029,,,,,,,
KR7308620004,A308620,ETF,KODEX 미국10년국채선물,308620,0.09,실물(패시브),해외,채권,환노출,0.09,LSEG
KR7310970009,A310970,ETF,TIGER MSCI Korea TR,310970,0.12,실물(패시브),국내,주식,환노출,0.12,LSEG
KR7316300003,A316300,ETF,ACE 싱가포르리츠,316300,0.4,실물(패시브),해외,부동산,환노출,0.4,LSEG
KR7319640009,A319640,ETF,TIGER 골드선물(H),319640,0.39,실물(패시브),해외,원자재,환헤지,0.39,LSEG
KR7322400003,A322400,ETF,HANARO e커머스,322400,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7329660005,A329660,ETF,KODEX TRF5050,329660,0.17,실물(패시브),국내&해외,혼합자산,환노출,0.17,LSEG
KR7332610005,A332610,ETF,PLUS 미국단기회사채(AAA~A),332610,0.315,실물(패시브),해외,채권,환노출,0.315,LSEG
KRG500000663,Q500066,ETN,신한 블룸버그 인버스 2X WTI원유 선물 ETN,500066,,,,,,,
KR70052S0009,A0052S0,ETF,1Q 미국S&P500미국채혼합50액티브,0052S0,0.15,실물(액티브),해외,혼합자산,환노출,0.15,LSEG
KR70061Z0009,A0061Z0,ETF,RISE 단기특수은행채액티브,0061Z0,0.01,실물(액티브),국내,채권,환노출,0.01,LSEG
KR70064K0003,A0064K0,ETF,KODEX 금액티브,0064K0,0.3,실물(액티브),해외,원자재,환노출,0.3,LSEG
KR70065G0008,A0065G0,ETF,KODEX 차이나테크TOP10,0065G0,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR70066W0007,A0066W0,ETF,SOL 국제금,0066W0,0.05,실물(패시브),해외,원자재,환노출,0.05,LSEG
KR70078V0004,A0078V0,ETF,PLUS 미국로보택시,0078V0,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR70079X0001,A0079X0,ETF,ACE BYD밸류체인액티브,0079X0,0.45,실물(액티브),해외,주식,환노출,0.45,LSEG
KRG502400309,Q500030,ETN,신한 인버스 2X 은 선물 ETN(H),500030,,,,,,,
KR7233740000,A233740,ETF,KODEX 코스닥150레버리지,233740,0.64,실물(패시브),국내,주식,환노출,0.4,RDB
KR7234310001,A234310,ETF,RISE V&S셀렉트밸류,234310,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7238670004,A238670,ETF,PLUS 스마트베타Quality채권혼합,238670,0.2,실물(패시브),국내,혼합자산,환노출,0.49,RDB
KR7245710009,A245710,ETF,ACE 베트남VN30(합성),245710,0.7,합성(패시브),해외,주식,합성,0.7,LSEG
KR7251350005,A251350,ETF,KODEX MSCI선진국,251350,0.3,실물(패시브),해외,주식,환노출,0.3,LSEG
KR7252400007,A252400,ETF,RISE 200선물레버리지,252400,0.022,실물(패시브),국내,주식,환노출,0.022,LSEG
KR7252410006,A252410,ETF,RISE 200선물인버스,252410,0.022,실물(패시브),국내,주식,환노출,0.022,LSEG
KR7252710009,A252710,ETF,TIGER 200선물인버스2X,252710,0.022,실물(패시브),국내,주식,환노출,0.52,RDB
KR7337150007,A337150,ETF,KODEX 200exTOP,337150,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7354500001,A354500,ETF,ACE 코스닥150,354500,0.02,실물(패시브),국내,주식,환노출,0.02,LSEG
KR7356540005,A356540,ETF,ACE 종합채권(AA-이상)액티브,356540,0.02,실물(액티브),국내,채권,환노출,0.02,LSEG
KR7359210002,A359210,ETF,KODEX 코스피TR,359210,0.07,실물(패시브),국내,주식,환노출,0.07,LSEG
KR7363510009,A363510,ETF,SOL KIS단기통안채,363510,0.07,실물(패시브),국내,채권,환노출,0.07,LSEG
KR7364690008,A364690,ETF,KODEX 혁신기술테마액티브,364690,0.3,실물(액티브),국내,주식,환노출,0.3,LSEG
KR7365040005,A365040,ETF,TIGER AI코리아그로스액티브,365040,0.4,실물(액티브),국내,주식,환노출,0.4,LSEG
KR7367770005,A367770,ETF,RISE 수소경제테마,367770,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR70080Y0007,A0080Y0,ETF,SOL 조선TOP3플러스레버리지,0080Y0,0.5,실물(패시브),국내,주식,환노출,0.5,LSEG
KR70088N0002,A0088N0,ETF,WON K-글로벌수급상위,0088N0,0.69,실물(패시브),국내,주식,환노출,0.69,LSEG
KR70089C0004,A0089C0,ETF,KODEX 미국S&P500변동성확대시커버드콜,0089C0,0.39,실물(패시브),해외,주식,환노출,0.39,LSEG
KR70092B0000,A0092B0,ETF,SOL 한국원자력SMR,0092B0,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR70093A0000,A0093A0,ETF,RISE AI반도체TOP10,0093A0,0.2,실물(패시브),국내,주식,환노출,0.2,LSEG
KR70100K0009,A0100K0,ETF,KODEX 방산TOP10레버리지,0100K0,0.64,실물(패시브),국내,주식,환노출,0.64,LSEG
KR70103T0007,A0103T0,ETF,1Q K소버린AI,0103T0,0.49,실물(패시브),국내,주식,환노출,0.49,LSEG
KRG502400374,Q500037,ETN,신한 레버리지 금 선물 ETN,500037,,,,,,,
KR7253250005,A253250,ETF,KIWOOM 200선물레버리지,253250,0.46,실물(패시브),국내,주식,환노출,0.46,LSEG
KR7256750001,A256750,ETF,KODEX 차이나심천ChiNext(합성),256750,0.47,합성(패시브),해외,주식,합성,0.49,RDB
KR7261060008,A261060,ETF,TIGER 코스닥150IT,261060,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7261250005,A261250,ETF,KODEX 미국달러선물레버리지,261250,0.45,실물(패시브),국내,통화,환노출,0.45,LSEG
KR7261270003,A261270,ETF,KODEX 미국달러선물인버스,261270,0.45,실물(패시브),국내,통화,환노출,0.45,LSEG
KR7266420009,A266420,ETF,KODEX 헬스케어,266420,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7267450005,A267450,ETF,RISE 미국장기국채선물인버스(H),267450,0.4,실물(패시브),해외,채권,환헤지,0.4,LSEG
KR70164G0008,A0164G0,ETF,RISE 차이나AI반도체TOP4Plus,0164G0,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7371450008,A371450,ETF,TIGER 글로벌클라우드컴퓨팅INDXX,371450,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7371470006,A371470,ETF,TIGER 차이나바이오테크SOLACTIVE,371470,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7371870007,A371870,ETF,ACE 차이나항셍테크,371870,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7372330001,A372330,ETF,KODEX 차이나항셍테크,372330,0.12,실물(패시브),해외,주식,환노출,0.12,LSEG
KR7376410007,A376410,ETF,TIGER 탄소효율그린뉴딜,376410,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7379780000,A379780,ETF,RISE 미국S&P500,379780,0.004,실물(패시브),해외,주식,환노출,0.004,LSEG
KR7380340000,A380340,ETF,ACE 코리아AI테크핵심산업,380340,0.35,실물(패시브),국내,주식,환노출,0.35,LSEG
KRG502400416,Q500041,ETN,신한 인버스 2X 구리 선물 ETN,500041,,,,,,,
KR70104N0002,A0104N0,ETF,TIGER 200타겟위클리커버드콜,0104N0,0.25,실물(패시브),국내,주식,환노출,0.25,LSEG
KR70104P0000,A0104P0,ETF,TIGER 코리아배당다우존스위클리커버드콜,0104P0,0.25,실물(패시브),국내,주식,환노출,0.25,LSEG
KR70105E0002,A0105E0,ETF,SOL 코리아고배당,0105E0,0.159,실물(패시브),국내,주식,환노출,0.159,LSEG
KR70111J0009,A0111J0,ETF,HANARO 증권고배당TOP3플러스,0111J0,0.07,실물(패시브),국내,주식,환노출,0.07,LSEG
KR70111P0001,A0111P0,ETF,1Q 미국나스닥100미국채혼합50액티브,0111P0,0.05,실물(액티브),해외,혼합자산,환노출,0.05,LSEG
KR70115D0001,A0115D0,ETF,KODEX 조선TOP10,0115D0,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR70117L0009,A0117L0,ETF,KODEX 26-12 금융채(AA-이상)액티브,0117L0,0.09,실물(액티브),국내,채권,환노출,0.09,LSEG
KRG510000398,Q510039,ETN,대신 3X 레버리지 국채30년 ETN,510039,,,,,,,
KR7267490001,A267490,ETF,RISE 미국장기국채선물레버리지(합성 H),267490,0.5,합성(패시브),해외,채권,환노출,0.5,LSEG
KR7267770006,A267770,ETF,TIGER 200선물레버리지,267770,0.022,실물(패시브),국내,주식,환노출,0.09,RDB
KR7269370003,A269370,ETF,TIGER S&P글로벌인프라(합성),269370,0.4,합성(패시브),해외,주식,합성,0.4,LSEG
KR7269420006,A269420,ETF,KODEX S&P글로벌인프라(합성),269420,0.26,합성(패시브),해외,주식,합성,0.26,RDB
KR7271060006,A271060,ETF,KODEX 3대농산물선물(H),271060,0.55,실물(패시브),해외,원자재,환헤지,0.55,LSEG
KR7273130005,A273130,ETF,KODEX 종합채권(AA-이상)액티브,273130,0.045,실물(액티브),국내,채권,환노출,0.045,LSEG
KR7273140004,A273140,ETF,KODEX 단기변동금리부채권액티브,273140,0.15,실물(액티브),국내,채권,환노출,0.15,LSEG
KRG510000406,Q510040,ETN,대신 인버스 3X 국채30년 ETN,510040,,,,,,,
KR7385550009,A385550,ETF,RISE 단기채권알파액티브,385550,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7387270002,A387270,ETF,TIGER 글로벌이노베이션액티브,387270,0.55,실물(액티브),해외,주식,환노출,0.55,LSEG
KR7388420002,A388420,ETF,RISE 비메모리반도체액티브,388420,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7390400000,A390400,ETF,KODEX 미국스마트모빌리티S&P,390400,0.09,실물(패시브),해외,주식,환노출,0.09,LSEG
KR7394670004,A394670,ETF,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),394670,0.49,합성(패시브),해외,주식,합성,0.49,LSEG
KR7395270002,A395270,ETF,HANARO Fn K-반도체,395270,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7396500001,A396500,ETF,TIGER 반도체TOP10,396500,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KRG510000455,Q510045,ETN,대신 인버스 2X 미국달러 선물 ETN,510045,,,,,,,
KR70122W0009,A0122W0,ETF,RISE 26-11 회사채(AA-이상)액티브,0122W0,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR70127M0006,A0127M0,ETF,ACE 미국대형가치주액티브,0127M0,0.3,실물(액티브),해외,주식,환노출,0.3,LSEG
KR70127R0001,A0127R0,ETF,RISE 미국AI클라우드인프라,0127R0,0.4,실물(패시브),해외,주식,환노출,0.4,LSEG
KR70131W0008,A0131W0,ETF,1Q 단기특수은행채액티브,0131W0,0.01,실물(액티브),국내,채권,환노출,0.01,LSEG
KR70133E0008,A0133E0,ETF,TIGER 차이나증권,0133E0,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR70135Y0002,A0135Y0,ETF,IBK 중기종합채권(AA-이상)액티브,0135Y0,0.041,실물(액티브),국내,채권,환노출,0.041,LSEG
KR70137W0002,A0137W0,ETF,KIWOOM 미국S&P500&GOLD,0137W0,0.01,실물(패시브),해외,주식,환노출,0.01,LSEG
KR7424460004,A424460,ETF,HANARO 글로벌워터MSCI(합성),424460,0.5,합성(패시브),해외,주식,합성,0.5,LSEG
KR7404650004,A404650,ETF,SOL KRX기후변화솔루션,404650,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7409810009,A409810,ETF,KODEX 미국나스닥100선물인버스(H),409810,0.3,실물(패시브),해외,주식,환헤지,0.3,LSEG
KR7411540008,A411540,ETF,SOL 200 Top10,411540,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7411720006,A411720,ETF,RISE 글로벌메타버스,411720,,,,,,,
KR7411860000,A411860,ETF,KIWOOM 독일DAX,411860,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7412570004,A412570,ETF,TIGER 2차전지TOP10레버리지,412570,0.29,실물(패시브),국내,주식,환노출,0.29,LSEG
KR7412770000,A412770,ETF,TIGER 글로벌AI플랫폼액티브,412770,0.79,실물(액티브),해외,주식,환노출,0.79,LSEG
KR7414780007,A414780,ETF,TIGER 차이나과창판STAR50(합성),414780,0.09,합성(패시브),해외,주식,합성,0.09,LSEG
KR70139P0009,A0139P0,ETF,ACE 고배당주,0139P0,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR70141S0002,A0141S0,ETF,SOL 조선기자재,0141S0,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR70141T0001,A0141T0,ETF,SOL 중기종합채권(AA-이상)액티브,0141T0,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR70150K0008,A0150K0,ETF,KoAct 수소전력ESS인프라액티브,0150K0,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR70151S0009,A0151S0,ETF,KODEX 미국AI반도체TOP3플러스,0151S0,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR70154H0009,A0154H0,ETF,KoAct 차이나바이오헬스케어액티브,0154H0,0.5,실물(액티브),해외,주식,환노출,0.5,LSEG
KR70162L0003,A0162L0,ETF,KODEX 차이나AI반도체TOP10,0162L0,0.55,실물(패시브),해외,주식,환노출,0.55,LSEG
KRG520000388,Q520038,ETN,미래에셋 인버스 코스피200 선물 ETN,520038,,,,,,,
KR7415920008,A415920,ETF,PLUS 글로벌희토류&전략자원생산기업,415920,0.5,실물(패시브),해외,주식,환노출,0.5,LSEG
KR7417450004,A417450,ETF,RISE 글로벌수소경제,417450,0.4,실물(패시브),해외,주식,환노출,0.4,LSEG
KR7417630001,A417630,ETF,TIGER KEDI혁신기업ESG30,417630,0.5,실물(패시브),국내,주식,환노출,0.5,LSEG
KR7419430004,A419430,ETF,KODEX 차이나2차전지MSCI(합성),419430,0.25,합성(패시브),해외,주식,합성,0.25,LSEG
KR7419650007,A419650,ETF,PLUS 글로벌수소&차세대연료전지,419650,0.5,실물(패시브),해외,주식,환노출,0.5,LSEG
KR7421320003,A421320,ETF,PLUS 우주항공,421320,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7423920008,A423920,ETF,TIGER 미국필라델피아반도체레버리지(합성),423920,0.58,합성(패시브),해외,주식,합성,0.58,LSEG
KRG500000762,Q500076,ETN,신한 S&P500 VIX S/T 선물 ETN D,500076,,,,,,,
KR70167A0001,A0167A0,ETF,SOL AI반도체TOP2플러스,0167A0,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR70172Y0006,A0172Y0,ETF,ACE K수출핵심TOP10산업액티브,0172Y0,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR70180V0009,A0180V0,ETF,ACE 미국우주테크액티브,0180V0,0.8,실물(액티브),해외,주식,환노출,0.8,LSEG
KR70183V0006,A0183V0,ETF,KIWOOM 삼성전자&SK하이닉스채권혼합50,0183V0,0.07,실물(패시브),국내,혼합자산,환노출,0.07,LSEG
KR70184N0005,A0184N0,ETF,PLUS 은채권혼합,0184N0,,,,,,,
KR70190M0008,A0190M0,ETF,KIWOOM 미국AI테크하이베타,0190M0,,,,,,,
KR70192L0007,A0192L0,ETF,RISE SK하이닉스단일종목레버리지,0192L0,,,,,,,
KR7435040001,A435040,ETF,ACE 글로벌브랜드TOP10,435040,0.5,실물(패시브),해외,주식,환노출,0.5,LSEG
KR7426150009,A426150,ETF,WON 대한민국국고채액티브,426150,0.07,실물(액티브),국내,채권,환노출,0.07,LSEG
KR7426330007,A426330,ETF,KIWOOM 미국ETF산업STOXX,426330,,,,,,,
KR7427120001,A427120,ETF,RISE AI플랫폼,427120,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7429740004,A429740,ETF,PLUS K리츠,429740,0.25,실물(패시브),국내,부동산,환노출,0.25,LSEG
